,model_name,window_size,units,batch_size,learning_rate,dense_units,dropout_rate,best_val_loss,best_epoch,final_train_loss,epochs,time
297,lstm_dense,12,32,4,0.01,128.0,,0.04653070494532585,13,0.01613653264939785,23,4.969304800033569
298,lstm_dense,12,64,4,0.01,128.0,,0.04690147563815117,56,0.010016773827373981,66,12.408255338668823
299,lstm_dense,12,128,4,0.01,128.0,,0.02249709703028202,40,0.0049919565208256245,50,12.346319913864136
300,lstm_dense,12,32,8,0.005,64.0,,0.05953899398446083,26,0.011831148527562618,36,5.647632360458374
301,lstm_dense,12,64,8,0.005,64.0,,0.0682428851723671,16,0.016710299998521805,26,4.656381130218506
302,lstm_dense,12,128,8,0.005,64.0,,0.04776275157928467,74,0.0095036830753088,84,14.130455493927002
303,lstm_dense,12,32,8,0.01,64.0,,0.061866968870162964,19,0.01616782695055008,29,4.812566041946411
304,lstm_dense,12,64,8,0.01,64.0,,0.04244695231318474,35,0.011322669684886932,45,6.7124481201171875
305,lstm_dense,12,128,8,0.01,64.0,,0.059499021619558334,11,0.015095013193786144,21,4.630000829696655
306,lstm_dense,12,32,8,0.005,128.0,,0.055279288440942764,55,0.013553209602832794,65,8.949576377868652
307,lstm_dense,12,64,8,0.005,128.0,,0.0749368667602539,8,0.021646179258823395,18,3.6871399879455566
308,lstm_dense,12,128,8,0.005,128.0,,0.04679237678647041,58,0.009943122044205666,68,11.984731197357178
309,lstm_dense,12,32,8,0.01,128.0,,0.04713895916938782,22,0.01660008542239666,32,5.109415292739868
310,lstm_dense,12,64,8,0.01,128.0,,0.059985000640153885,11,0.016681203618645668,21,4.062282085418701
311,lstm_dense,12,128,8,0.01,128.0,,0.05875909700989723,11,0.01783684827387333,21,4.70715856552124
312,lstm_dense,12,32,16,0.005,64.0,,0.06649309396743774,42,0.013062293641269207,52,6.468847036361694
313,lstm_dense,12,64,16,0.005,64.0,,0.0851183533668518,20,0.016882091760635376,30,4.503299713134766
314,lstm_dense,12,128,16,0.005,64.0,,0.07152348756790161,13,0.016135351732373238,23,4.248013019561768
315,lstm_dense,12,32,16,0.01,64.0,,0.060421254485845566,18,0.016177423298358917,28,4.194173812866211
316,lstm_dense,12,64,16,0.01,64.0,,0.06383439898490906,13,0.016741381958127022,23,3.8340349197387695
317,lstm_dense,12,128,16,0.01,64.0,,0.062365319579839706,19,0.014635465107858181,29,5.323001384735107
318,lstm_dense,12,32,16,0.005,128.0,,0.09573779255151749,23,0.018722789362072945,33,4.692367792129517
319,lstm_dense,12,64,16,0.005,128.0,,0.08414853364229202,20,0.018203286454081535,30,4.608731269836426
320,lstm_dense,12,128,16,0.005,128.0,,0.06872089952230453,12,0.016050154343247414,22,4.388800859451294
321,lstm_dense,12,32,16,0.01,128.0,,0.09065746515989304,16,0.018046384677290916,26,4.004340887069702
322,lstm_dense,12,64,16,0.01,128.0,,0.048596497625112534,48,0.010166860185563564,58,7.72139048576355
323,lstm_dense,12,128,16,0.01,128.0,,0.06508252024650574,18,0.013132558204233646,28,5.524089813232422
324,lstm_dense,12,32,32,0.005,64.0,,0.19526904821395874,21,0.02415364235639572,31,4.06782341003418
325,lstm_dense,12,64,32,0.005,64.0,,0.15243001282215118,20,0.023018604144454002,30,4.169440984725952
326,lstm_dense,12,128,32,0.005,64.0,,0.07994779944419861,31,0.017305810004472733,41,5.628671407699585
327,lstm_dense,12,32,32,0.01,64.0,,0.131865456700325,22,0.02552259899675846,32,4.165658235549927
328,lstm_dense,12,64,32,0.01,64.0,,0.06729501485824585,24,0.017132176086306572,34,4.686018228530884
329,lstm_dense,12,128,32,0.01,64.0,,0.04532019421458244,33,0.011456772685050964,43,5.928554058074951
330,lstm_dense,12,32,32,0.005,128.0,,0.12356826663017273,20,0.022529741749167442,30,4.129159212112427
331,lstm_dense,12,64,32,0.005,128.0,,0.09933537244796753,20,0.02232103794813156,30,4.223341941833496
332,lstm_dense,12,128,32,0.005,128.0,,0.08106355369091034,20,0.018102625384926796,30,4.53631591796875
